isbn_b,isbn_a,title,authors,publisher,publish_year
1411683056,['0679760806'],The Master and Margarita,Mikhail Bulgakov/Michael Karpelson,Lulu Press,2006
0141186070,['0143039431'],The Log from the Sea of Cortez,John Steinbeck/Richard Astro,Penguin Books Ltd,2001
0141439645,"['1402714602', '1594205132']",The Adventures of Huckleberry Finn,Mark Twain/Peter Coveney,Penguin Books,2003
0141439823,['1402784066'],Robinson Crusoe,Daniel Defoe/John J. Richetti,Penguin Classics,2003
0141439831,['1561458031'],Vanity Fair,William Makepeace Thackeray/John Carey,Penguin Books,2003
0141441143,['0141441143'],Jane Eyre,Charlotte Brontë/Stevie Davies,Penguin Classics,2006
1415916292,['1400043395'],Never Let Me Go,Kazuo Ishiguro/Rosalyn Landor,Books on Tape,2005
1416500294,['1402714572'],Treasure Island,Robert Louis Stevenson,Simon & Schuster,2005
1416535209,['1416535209'],The Guy Not Taken: Stories,Jennifer Weiner,Atria Books,2006
1417618256,['0307743659'],The Shining,Stephen King,Turtleback Books,2002
1417626283,['0375703861'],White Teeth,Zadie Smith,Turtleback Books,2001
